Player,Team,AGE,Role,Special Feature,Match_1,Match_2,Match_3,Match_4,Match_5,Match_6,Match_7,Match_8,Match_9,Match_10,Match_11,Match_12,Match_13,Match_14
MS Dhoni,CSK,39,BAT/WK,MO,20,47,41,71,12,54,32,29,7,50,24,26,5,12
Watson,CSK,39,BAT,TO,17,46,21,5,112,78,21,53,46,14,DNP,DNP,21,DNP
Rayudu,CSK,34,BAT,TO,95,DNP,DNP,19,12,37,50,52,66,17,6,50,57,36
Du Plesis,CSK,36,BAT,MO,100,107,51,38,112,40,20,2,96,15,5,51,DNP,60
Vijay,CSK,36,BAT,TO,5,28,13,DNP,DNP,DNP ,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jadeja,CSK,31,ALL,MO,62,3,13,71,37,44,18,75,45,43,12,4,76,31
Sam Curran,CSK,22,ALL,MO,68,101,30,25,8,74,21,77,35,29,72,79,26,4
Piyush Chawla,CSK,31,BALL,TE,31,23,54,29,25,DNP,DNP,4,DNP,0,DNP,DNP,DNP,DNP
Deepak Chahar,CSK,28,BALL,TE,54,45,2,54,6,-2,40,6,74,66,4,54,0,2
Ngidi,CSK,24,BALL,TE,77,23,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,54,77
Jadhav,CSK,35,BAT,MO,4,43,33,1,4,8,DNP,DNP,4,8,DNP,DNP,DNP,DNP
Rituraj Gaikwad,CSK,23,BAT,MO,DNP,8,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,103,102,90
Josh Hazlewood,CSK,29,BALL,TE,DNP,DNP,4,DNP,DNP,DNP,DNP,DNP,DNP,33,4,DNP,DNP,DNP
Shardul Thakur,CSK,28,BALL,TE,DNP,DNP,DNP,29,52,62,53,39,27,4,9,DNP,DNP,29
DJ Bravo,CSK,36,ALL,MO,DNP,DNP,DNP,4,2,77,9,72,29,DNP,DNP,DNP,DNP,DNP
Karn Sharma,CSK,33,BALL,TE,DNP,DNP,DNP,DNP,DNP,54,4,52,-2,DNP,DNP,DNP,29,DNP
Jagadeesan,CSK,25,WK,MO,DNP,DNP,DNP,DNP,DNP,DNP,41,DNP,DNP,DNP,2,4,4,4
Mitchell Santner,CSK,28,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,39,27,DNP
Rohit Sharma,MI,33,BAT,TO,18,107,22,96,20,63,3,46,23,DNP,DNP,DNP,DNP,8
De Kock,MI,27,BAT/WK,TO,42,33,19,10,99,56,75,121,80,95,12,36,60,35
S.Yadav,MI,30,BAT,TO,23,59,2,32,37,106,79,23,2,20,50,115,25,45
Ishan Kishan,MI,22,BAT/WK,MO,DNP,DNP,131,35,48,2,38,4,12,96,47,34,98,42
S.Tiwary,MI,30,BAT,MO,51,28,DNP,DNP,DNP,DNP,DNP,DNP,DNP,4,44,17,4,5
Hardik Pandya,MI,26,ALL,MO,22,50,21,41,46,46,2,30,14,4,88,25,DNP,DNP
Kieron Pollard,MI,33,ALL,MO,25,51,101,62,43,36,16,12,47,4,18,34,4,55
Krunal Pandya,MI,29,ALL,MO,30,5,4,29,55,14,76,6,46,14,5,15,24,-4
Pattinson,MI,30,BALL,TE,50,54,-2,54,54,56,-2,DNP,DNP,DNP,48,6,DNP,6
Rahul Chahar,MI,21,BALL,TE,37,54,29,54,12,29,10,58,54,56,-2,33,31,2
Boult,MI,31,BALL,TE,29,62,54,33,54,54,35,29,6,124,2,35,81,DNP
Bumrah,MI,26,BALL,TE,30,54,0,58,50,114,4,31,81,54,2,93,95,DNP
Coulter-Nile,MI,33,BALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,23,40,29,DNP,DNP,29,5
P.Shaw,DC,20,BAT,TO,26,87,6,90,55,27,17,2,2,10,DNP,DNP,16,23
Shikhar Dhawan,DC,34,BAT,TO,2,44,42,44,47,18,89,79,145,144,11,2,2,72
Hetmeyer,DC,23,BAT,TO,16,12,29,21,25,84,DNP,DNP,DNP,16,16,23,16,DNP
Shreyas Iyer,DC,25,BAT,MO,57,31,23,119,24,38,59,72,30,20,56,15,32,19
Rishabh Pant,DC,23,BAT/WK,MO,47,68,45,57,64,17,DNP,DNP,DNP,39,43,45,27,27
Marcus Stoinis,DC,31,ALL,MO,126,10,16,24,83,101,38,23,33,13,56,10,6,24
Axar Patel,DC,26,ALL,MO,41,39,17,DNP,58,62,37,49,33,29,23,11,DNP,4
Ashwin,DC,34,BALL,MO,58,DNP,DNP,-2,37,56,29,41,2,35,14,31,22,33
Rabada,DC,25,BALL,TE,62,87,82,23,114,87,62,29,37,54,72,1,16,54
Daniel Sams,DC,28,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,12,DNP,0,DNP,DNP,2
Nortje,DC,26,BALL,TE,7,56,13,87,56,29,4,54,58,DNP,54,28,25,79
Mohit Sharma,DC,32,BALL,TE,23,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Amit Mishra,DC,37,BALL,TE,DNP,14,54,29,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Avesh Khan,DC,23,BALL,TE,DNP,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ishant Sharma,DC,32,BALL,TE,DNP,DNP,4,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
H Patel,DC,29,BALL,TE,DNP,DNP,DNP,62,0,46,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Alex Carey,DC,29,BAT/WK,MO,DNP,DNP,DNP,DNP,DNP,DNP,26,20,16,DNP,DNP,DNP,DNP,DNP
Rahane,DC,32,BAT,TO,DNP,DNP,DNP,DNP,DNP,DNP,22,14,13,DNP,10,35,DNP,93
Tushar Deshpande,DC,25,BALL,TE,DNP,DNP,DNP,DNP,DNP,DNP,DNP,52,27,-2,11,22,DNP,DNP
KL Rahul,KXIP,28,BAT/WK,TO,49,180,98,22,84,13,92,100,102,30,51,52,57,46
Mayank Agarwal,KXIP,29,BAT,TO,124,42,158,32,33,14,76,59,24,25,DNP,DNP,DNP,35
Chris Gayle,KXIP,41,BAT,TO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,76,33,40,28,83,133,14
Karun Nair,KXIP,28,BAT,TO,5,22,4,10,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Pooran,KXIP,24,BAT,MO,8,36,44,55,44,116,36,20,42,77,46,14,40,6
Maxwell,KXIP,31,ALL,MO,5,21,17,13,16,17,24,4,4,72,16,25,11,DNP
Deepak Hooda,KXIP,25,BAT,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,12,38,18,2,4,13,85
Sarfaraz Khan,KXIP,22,BAT,MO,18,12,12,12,20,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mandeep Singh,KXIP,29,BAT,MO,DNP,DNP,DNP,DNP,35,10,8,DNP,DNP,DNP,30,90,2,19
K.Gowtham,KXIP,31,ALL,MO,31,DNP,DNP,49,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jordan,KXIP,31,BALL,TE,19,DNP,DNP,DNP,-2,DNP,2,37,40,DNP,106,54,23,29
H Brar,KXIP,25,BALL,TE,DNP,DNP,DNP,DNP,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mohammed Shami,KXIP,30,BALL,TE,93,33,81,41,2,27,35,48,54,54,29,79,-2,4
Sheldon Cottrell,KXIP,31,BALL,TE,56,56,23,39,2,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ravi Bishnoi,KXIP,20,BALL,TE,31,95,4,3,4,84,29,2,31,4,47,64,4,2
James Neesham,KXIP,30,ALL,MO,DNP,4,27,13,DNP,DNP,DNP,DNP,DNP,41,DNP,DNP,DNP,6
Murugan Ashwin,KXIP,30,BALL,TE,DNP,79,29,DNP,DNP,DNP,DNP,56,18,29,41,37,25,8
Prabhsimran Singh,KXIP,20,BAT/WK,MO,DNP,DNP,DNP,DNP,DNP,17,28,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Arshdeep Singh,KXIP,21,BALL,TE,DNP,DNP,DNP,DNP,DNP,70,37,27,48,2,81,2,-2,DNP
Mujeeb Rahman,KXIP,20,BALL,TE,DNP,DNP,DNP,DNP,DNP,3,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Aaron Finch,RCB,33,BAT,TO,38,35,73,22,18,6,57,28,30,22,22,DNP,DNP,DNP
Devdutt Padikkal,RCB,20,BAT,TO,76,5,83,99,16,49,50,31,41,40,30,108,10,67
Virat Kohli,RCB,31,BAT,TO,34,5,1,95,51,114,38,55,52,24,65,11,19,37
de Villiers,RCB,36,BAT,MO,71,46,87,17,23,10,108,12,88,20,47,22,43,44
Josh Philippe,RCB,23,BAT/WK,MO,11,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,43,40,17
Shivan Dube,RCB,27,ALL,MO,63,64,38,4,17,30,4,31,DNP,DNP,DNP,6,DNP,41
Umesh Yadav,RCB,32,BALL,TE,16,-2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
W Sundar,RCB,20,BALL,TE,4,38,35,6,26,68,56,16,4,43,10,17,52,31
N Saini,RCB,27,BALL,TE,62,9,0,35,11,8,31,6,12,29,4,DNP,23,DNP
Steyn,RCB,37,BALL,TE,27,-1,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,DNP,DNP
Chahal,RCB,30,BALL,TE,83,30,23,89,2,29,35,23,54,60,31,52,56,4
Chris Morris,RCB,33,ALL,MO,DNP,DNP,DNP,DNP,DNP,103,66,38,120,30,29,48,13,0
Adam Zampa,RCB,28,BALL,TE,DNP,DNP,23,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Gurkeerat Singh,RCB,30,ALL,MO,DNP,DNP,4,4,DNP,DNP,DNP,DNP,24,43,6,28,26,DNP
Isuru Udana,RCB,32,BALL,TE,DNP,DNP,48,58,28,29,41,16,-2,4,DNP,DNP,37,3
Mohammed Siraj,RCB,26,BALL,TE,DNP,DNP,DNP,DNP,60,DNP,37,-2,DNP,101,6,62,6,35
Moin Ali,RCB,33,ALL,MO,DNP,DNP,DNP,DNP,45,DNP,DNP,DNP,DNP,DNP,5,DNP,DNP,DNP
Shahbaz Ahmed,RCB,25,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,10,DNP,DNP,DNP,DNP,55
Warner,SRH,33,BAT,TO,11,52,56,43,81,85,59,19,56,17,62,106,22,117
Bairstow,SRH,30,BAT/WK,TO,101,5,85,8,43,136,38,37,47,17,39,DNP,DNP,DNP
Manish Pandey,SRH,31,BAT,TO,49,70,15,38,48,5,74,17,18,123,15,54,43,4
Kane Williamson,SRH,30,BAT,MO,DNP,DNP,50,12,1,35,30,84,39,DNP,DNP,24,24,12
Vijay Shankar,SRH,29,ALL,MO,27,DNP,DNP,DNP,DNP,DNP,10,18,44,97,46,29,DNP,DNP
W Saha,SRH,35,BAT/WK,MO,DNP,45,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,115,49,99
Mitchell Marsh,SRH,28,ALL,MO,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Abdul Samad,SRH,19,ALL,MO,DNP,DNP,27,41,23,13,DNP,DNP,31,4,12,12,4,4
Priyam Garg,SRH,19,BAT,MO,17,4,12,77,12,22,22,21,24,4,7,DNP,DNP,12
Abhishek Sharma,SRH,20,BAT,TE,37,6,5,41,14,44,4,DNP,DNP,DNP,DNP,DNP,22,DNP
Rashid Khan,SRH,22,BALL,TE,19,29,85,10,42,93,54,21,30,31,68,85,31,29
Jason Holder,SRH,29,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,91,59,23,87,54
Bhuvaneshwar Kumar,SRH,30,BALL,TE,4,2,54,29,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Sandeep Sharma,SRH,27,BALL,TE,12,DNP,DNP,DNP,50,4,4,59,4,4,54,54,56,79
Khaleel Ahmed,SRH,22,BALL,TE,DNP,27,25,4,DNP,60,52,48,DNP,DNP,12,DNP,DNP,DNP
Natarajan,SRH,29,BALL,TE,32,27,29,50,12,62,18,50,52,-2,6,54,43,2
Siddharth Kaul,SRH,30,BALL,TE,DNP,DNP,DNP,DNP,48,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Shahbaz Nadeem,SRH,31,BALL,TE,DNP,DNP,DNP,DNP,DNP,DNP,DNP,10,DNP,12,DNP,29,29,58
Basil Thampi,SRH,27,BALL,TE,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,23,DNP,DNP,DNP,DNP,DNP
Yashasvi Jaiswal,RR,18,BAT,TO,11,DNP,DNP,DNP,2,63,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Steve Smith,RR,31,BAT,TO,93,73,7,10,11,40,9,5,77,32,25,18,40,17
Sanju Samson,RR,25,BAT/WK,TO,145,123,21,9,10,9,41,33,15,16,45,76,62,21
David Miller,RR,31,BAT,MO,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Robin Uthappa,RR,34,BAT,MO,9,9,6,22,DNP,DNP,25,49,62,8,27,19,39,20
Rahul Tewatia,RR,27,ALL,MO,88,79,45,34,18,98,65,27,59,41,6,4,20,114
Riyag Parag,RR,18,ALL,MO,11,2,13,21,DNP,DNP,52,5,4,4,28,4,4,2
Tom Curran,RR,25,BALL,TE,42,30,97,-2,16,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kartik Tyagi,RR,20,BALL,TE,DNP,DNP,DNP,DNP,27,31,27,45,29,29,-2,23,-2,54
Jofra Archer,RR,25,BALL,TE,64,15,74,52,58,91,35,100,2,37,75,62,54,39
Shreyas Gopal,RR,27,BALL,TE,27,8,5,29,63,0,4,36,29,35,4,54,4,48
Jaydev Unadkat,RR,28,BALL,TE,0,2,46,0,DNP,DNP,29,50,-2,DNP,DNP,DNP,DNP,DNP
Jos Buttler,RR,30,BAT/WK,TO,DNP,8,38,31,104,27,29,31,31,109,13,4,31,53
Ankit Rajpoot,RR,26,BALL,TE,DNP,27,36,DNP,0,DNP,DNP,DNP,DNP,4,4,-2,DNP,DNP
Ben Stokes,RR,29,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,10,45,29,24,38,163,132,28
Mahipal Lomror,RR,20,ALL,MO,DNP,DNP,DNP,58,16,5,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Sunil Narine,KKR,32,ALL,TO,48,2,54,1,49,54,DNP,DNP,DNP,DNP,88,11,23,0
Shubman Gill,KKR,21,BAT,TO,10,91,66,44,24,82,43,27,61,5,23,80,34,46
Nitish Rana,KKR,26,BAT,MO,32,36,30,82,14,14,12,10,46,2,108,2,117,2
Eoin Morgan,KKR,34,BAT,MO,29,53,43,67,18,32,11,49,43,39,33,53,21,97
Dinesh Karthik,KKR,35,BAT/WK,TO,39,8,21,10,25,82,5,17,39,10,7,2,28,34
Andre Russell,KKR,32,ALL,MO,42,37,34,70,29,10,43,19,16,DNP,DNP,DNP,DNP,36
Kamlesh Nagarkoti,KKR,20,BALL,TE,DNP,4,79,26,29,-2,6,DNP,DNP,DNP,14,10,-2,40
Nikhil Naik,KKR,25,BAT,MO,13,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Pat Cummins,KKR,27,BALL,MO,56,39,46,4,24,9,3,72,29,22,83,5,54,137
Kuldeep Yadav,KKR,25,BALL,TE,3,4,29,DNP,DNP,DNP,DNP,DNP,6,17,DNP,DNP,DNP,DNP
Sandeep Warrier,KKR,29,BALL,TE,-2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Varun Chakravarthy,KKR,29,BALL,TE,DNP,37,62,31,30,4,11,31,29,4,147,31,56,56
Shivam Mavi,KKR,21,BALL,TE,72,4,64,7,25,DNP,DNP,29,23,DNP,DNP,DNP,DNP,84
R Tripathi,KKR,29,BAT,MO,DNP,DNP,DNP,49,107,3,21,12,31,5,42,13,7,51
Tom Banton,KKR,21,BAT,TO,DNP,DNP,DNP,DNP,DNP,DNP,10,DNP,DNP,17,DNP,DNP,DNP,DNP
Prasidh Krishna,KKR,24,BALL,TE,DNP,DNP,DNP,DNP,DNP,79,27,-2,DNP,4,2,12,DNP,DNP
Lockie Ferguson,KKR,29,BALL,TE,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,85,53,29,58,-2,DNP
